,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
19,19,1,20,초파리싹,240,930,14337751503,홈키파 컴배트 좀벌레 진드기싹 초파리싹 퇴치제품,3120,0,11번가,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1433775/14337751503.3.jpg
20,20,1,21,초파리싹,240,930,82511546983,날파리 초파리 퇴치법 초파리싹 제거 퇴치제 약,9360,0,내손안에 포켓샵,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8251154/82511546983.jpg
21,21,1,22,초파리싹,240,930,24554524457,홈키파 초파리싹 / 천연 국화 추출물로 초파리 제거,5540,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2455452/24554524457.jpg
22,22,1,23,초파리싹,240,930,82472692966,홈키파 에어졸 무향 오렌지향 네츄럴 허브향 초파리싹 스프레이 모음전,4480,0,미미하우스코리아,일반상품,가격비교 비매칭 일반상품,홈키파,태양,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8247269/82472692966.jpg
23,23,1,24,초파리싹,240,930,82530840601,홈키파 초파리싹 290ml/헨켈/스프레이/천연/벌레퇴치제/날파리/혹파리/여름/벌레,7200,0,나이스 마켓,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8253084/82530840601.1.jpg
24,24,1,25,초파리싹,240,930,24554409710,홈키파 초파리싹 / 천연 국화 추출물로 초파리 제거,5550,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2455440/24554409710.jpg
25,25,1,26,초파리싹,240,930,82597912613,홈키파 에어졸 초파리싹 천연 날파리 해충 벌레퇴치제,9990,0,동해물류,일반상품,가격비교 비매칭 일반상품,,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8259791/82597912613.1.jpg
26,26,1,27,초파리싹,240,930,80415683242,컴배트 좀벌레싹 진드기싹 초파리싹 스프레이 시트 등,6600,0,코비스,일반상품,가격비교 비매칭 일반상품,컴배트,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8041568/80415683242.jpg
27,27,1,28,초파리싹,240,930,23887862015,대용량 초파리싹 살충제 킬파프 500ML 2EA 무료배송,13000,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2388786/23887862015.jpg
28,28,1,29,초파리싹,240,930,82704190965,초파리 싹 나방파리 퇴치법 스프레이 타입 동성 날파리킬 370ml,7500,0,육남매상회,일반상품,가격비교 비매칭 일반상품,,동성제약,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8270419/82704190965.jpg
29,29,1,30,초파리싹,240,930,82600844584,늦여름 초파리 날파리 모기 트랩 음식물 쓰레기 초파리싹 퇴치법,2500,0,데일리테크,일반상품,가격비교 비매칭 일반상품,리빙굿,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8260084/82600844584.3.jpg
30,30,1,31,초파리싹,240,930,24143434262,홈매트 초파리싹 290ml,34980,0,쿠팡,일반상품,가격비교 비매칭 일반상품,홈매트,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2414343/24143434262.jpg
31,31,1,32,초파리싹,240,930,82529063039,홈키파 초파리싹 네츄럴 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,9300,0,다모아코리아,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8252906/82529063039.2.jpg
32,32,1,33,초파리싹,240,930,82280868114,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,6720,0,엠제이오퍼,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8228086/82280868114.2.jpg
33,33,1,34,초파리싹,240,930,82713910897,홈키파 초파리싹 290ml 헨켈 스프레이 천연 벌레 퇴치제 날파리 혹파리,6490,0,산토초이,일반상품,가격비교 비매칭 일반상품,산토초이,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8271391/82713910897.jpg
34,34,1,35,초파리싹,240,930,82707073053,홈키파 초파리싹 290ml,7000,0,찐하우스,일반상품,가격비교 비매칭 일반상품,헨켈,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8270707/82707073053.jpg
35,35,1,36,초파리싹,240,930,82706921817,초파리 날파리 퇴치 없애는법 퇴치법 퇴치제 살충제 초파리약 홈키파 초파리싹,8500,0,글로비스에스,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8270692/82706921817.jpg
36,36,1,37,초파리싹,240,930,19228741387,홈키파 초파리싹 제거체 290ml,11530,0,쿠팡,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1922874/19228741387.2.jpg
37,37,1,38,초파리싹,240,930,82697418950,초파리싹 퇴치 제로 진드기 살충 초파리약 날파리 퇴치제 해피홈 벌레 하수구,6900,0,어너굿,일반상품,가격비교 비매칭 일반상품,,해피홈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8269741/82697418950.jpg
